Package Type,Destination,Itinerary,Travel Date,Start City,Airline,Flight Stops,Meals
Budget,Darjeeling,3N Darjeeling,18-01-2022,New Delhi,IndiGo|IndiGo,2,2
Standard,Cochin|Munnar|Thekkady|Allepey|Kovalam and Poovar,1N Cochin . 2N Munnar . 1N Thekkady . 1N Allepey . 2N Kovalam and Poovar,27-02-2021,New Delhi,Spicejet|IndiGo|IndiGo,2,3
Luxury,New Delhi|Shimla|Manali|Chandigarh,2N New Delhi . 2N Shimla . 3N Manali . 1N Chandigarh,12/7/2021,New Delhi,Not Available,0,4
Standard,Gangtok|Lachung|Gangtok,4N Gangtok . 2N Lachung . 2N Gangtok,22-05-2021,New Delhi,IndiGo,2,3
Standard,Srinagar|Gulmarg,3N Srinagar . 2N Gulmarg,8/5/2021,New Delhi,IndiGo,2,3
Deluxe,Mysore|Ooty|Bangalore,1N Mysore . 2N Ooty . 1N Bangalore,30-03-2021,New Delhi,Spicejet,1,3
Luxury,Kandy|Bentota|Colombo,2N Kandy . 2N Bentota . 1N Colombo,7/11/2021,New Delhi,Spicejet|Spicejet|Spicejet|Spicejet,0,4
Standard,Thekkady|Cochin,2N Thekkady . 1N Cochin,8/10/2021,New Delhi,Air India,2,3
Luxury,Darjeeling|Gangtok,4N Darjeeling . 2N Gangtok,22-11-2021,Mumbai,IndiGo,0,4
Premium,Parwanoo|Shimla,1N Parwanoo . 2N Shimla,30-03-2021,Mumbai,Go Air,0,5
Deluxe,Nameri|Guwahati,2N Nameri . 1N Guwahati,1/5/2021,New Delhi,Spicejet,1,3
Standard,Mysore|Wayanad,1N Mysore . 2N Wayanad,8/5/2021,Mumbai,Vistara,2,3
Standard,Chandigarh|Shimla|Manali|Parwanoo,1N Chandigarh . 2N Shimla . 3N Manali . 1N Parwanoo,2/9/2021,Mumbai,Vistara,2,3
Deluxe,Darjeeling|Gangtok|Kalimpong,2N Darjeeling . 2N Gangtok . 1N Kalimpong,3/8/2021,Mumbai,IndiGo,1,3
Luxury,Darjeeling|Gangtok,1N Darjeeling . 2N Gangtok,17-09-2021,New Delhi,IndiGo,0,4
Standard,Bali|Singapore,3N Bali . 3N Singapore,5/1/2022,New Delhi,Thai Airways|Thai Airways|AirAsia Indonesia|Srilankan Airlines|Srilankan Airlines,2,3
Premium,Gangtok|Pelling|Darjeeling,3N Gangtok . 1N Pelling . 2N Darjeeling,8/12/2021,New Delhi,IndiGo|IndiGo,0,5
Luxury,Jaipur,3N Jaipur,12/5/2021,Mumbai,Go Air,0,4
Deluxe,Gangtok|Lachung|Gangtok,3N Gangtok . 2N Lachung . 1N Gangtok,6/5/2021,Mumbai,IndiGo,1,3
Premium,Munnar|Allepey|Kovalam,2N Munnar . 2N Allepey . 2N Kovalam,22-09-2021,Mumbai,Spicejet|IndiGo,0,5
Premium,Gangtok|Lachung|Gangtok|Pelling|Darjeeling,2N Gangtok . 2N Lachung . 1N Gangtok . 2N Pelling . 2N Darjeeling,22-04-2021,Mumbai,Spicejet,0,5
Premium,Kandy|Bentota|Colombo,2N Kandy . 2N Bentota . 1N Colombo,23-12-2021,New Delhi,Srilankan Airlines|Srilankan Airlines,0,5
Premium,Munnar|Kumarakom,2N Munnar . 2N Kumarakom,7/9/2021,New Delhi,IndiGo,0,5
Standard,Coorg,3N Coorg,17-12-2021,New Delhi,Not Available,2,3
Standard,Goa,2N Goa,15-09-2021,New Delhi,Not Available,2,3
Deluxe,Srinagar,5N Srinagar,14-05-2021,Mumbai,Spicejet|Spicejet,1,3
Standard,Negombo|Kandy|Nuwara Eliya|Colombo,1N Negombo . 1N Kandy . 1N Nuwara Eliya . 1N Colombo,1/2/2021,New Delhi,IndiGo|IndiGo|IndiGo|IndiGo,2,3
Standard,Munnar,2N Munnar,22-02-2021,Mumbai,Spicejet,2,3
Standard,Bangalore|Mysore|Ooty|Kodaikanal,1N Bangalore . 1N Mysore . 2N Ooty . 2N Kodaikanal,26-10-2021,Mumbai,Not Available,2,3
Luxury,Madurai|Rameshwaram|Kanyakumari,1N Madurai . 1N Rameshwaram . 1N Kanyakumari,9/10/2021,New Delhi,Air India|Air India|Spicejet,0,4
Premium,Goa,4N Goa,27-05-2021,New Delhi,Spicejet,0,5
Premium,Allepey|Kovalam and Poovar,2N Allepey . 3N Kovalam and Poovar,26-07-2021,New Delhi,Go Air|IndiGo|IndiGo,0,5
Deluxe,Coorg|Wayanad|Mysore|Bangalore,2N Coorg . 2N Wayanad . 1N Mysore . 2N Bangalore,4/2/2022,New Delhi,Go Air,1,3
Deluxe,Agra|New Delhi|Shimla|Manali|Chandigarh,1N Agra . 1N New Delhi . 2N Shimla . 3N Manali . 1N Chandigarh,25-08-2021,New Delhi,Air India,1,3
Premium,Chandigarh|Manali|Shimla,1N Chandigarh . 3N Manali . 2N Shimla,9/9/2021,New Delhi,IndiGo,0,5
Premium,Shimla,3N Shimla,3/5/2021,New Delhi,Not Available,0,5
Standard,Leh,3N Leh,11/10/2021,New Delhi,Spicejet,2,3
Deluxe,Coorg|Ooty,2N Coorg . 3N Ooty,25-05-2021,Mumbai,Go Air,1,3
Standard,New Delhi|Shimla|Manali|Chandigarh,2N New Delhi . 2N Shimla . 3N Manali . 1N Chandigarh,25-08-2021,Mumbai,Not Available,2,3
Luxury,Kullu|Manali,1N Kullu . 3N Manali,5/10/2021,Mumbai,IndiGo,0,4
Premium,Jaipur,3N Jaipur,10/5/2021,New Delhi,Not Available,0,5
Premium,Gangtok|Darjeeling,3N Gangtok . 2N Darjeeling,21-12-2021,Mumbai,IndiGo,0,5
Standard,Munnar|Kumarakom,2N Munnar . 2N Kumarakom,17-02-2021,New Delhi,Vistara,2,3
Deluxe,Kodaikanal,3N Kodaikanal,9/6/2021,New Delhi,Spicejet,1,3
Premium,Parwanoo|Shimla,1N Parwanoo . 2N Shimla,14-04-2021,Mumbai,Spicejet,0,5
Luxury,Udaipur|Jodhpur|Jaisalmer,2N Udaipur . 1N Jodhpur . 2N Jaisalmer,20-10-2021,New Delhi,IndiGo|IndiGo,0,4
Standard,Port Blair|Havelock|Port Blair,1N Port Blair . 3N Havelock . 1N Port Blair,20-09-2021,New Delhi,IndiGo|IndiGo,2,3
Standard,Manali,4N Manali,4/7/2021,New Delhi,Spicejet|AirAsia,2,3
Standard,Gangtok|Lachung|Gangtok|Darjeeling,1N Gangtok . 1N Lachung . 1N Gangtok . 2N Darjeeling,24-03-2021,Mumbai,Spicejet,2,3
Premium,Agra|New Delhi|Shimla|Manali|Chandigarh,1N Agra . 1N New Delhi . 2N Shimla . 3N Manali . 1N Chandigarh,13-06-2021,Mumbai,Spicejet,0,5
Deluxe,Gangtok|Lachung|Gangtok|Pelling|Darjeeling,2N Gangtok . 2N Lachung . 1N Gangtok . 2N Pelling . 2N Darjeeling,12/2/2021,New Delhi,IndiGo,1,3
Standard,Shimla|Manali|Dharamshala|Dalhousie|Chandigarh,2N Shimla . 3N Manali . 2N Dharamshala . 2N Dalhousie . 1N Chandigarh,10/9/2021,New Delhi,Spicejet,2,3
Standard,Jaipur,3N Jaipur,15-11-2021,Mumbai,Spicejet,2,3
Luxury,Manali|Shimla,3N Manali . 2N Shimla,21-02-2022,New Delhi,Not Available,0,4
Standard,Shillong,3N Shillong,4/12/2021,New Delhi,Spicejet|Spicejet,2,3
Premium,Munnar,2N Munnar,25-09-2021,New Delhi,IndiGo,0,5
Standard,Srinagar,3N Srinagar,25-09-2021,Mumbai,Spicejet|Spicejet,2,3
Standard,Nainital,3N Nainital,20-08-2021,New Delhi,Air India,2,3
Deluxe,Mysore|Ooty,2N Mysore . 2N Ooty,24-01-2022,New Delhi,Go Air|IndiGo,1,3
Standard,Gangtok|Pelling|Namchi,3N Gangtok . 2N Pelling . 1N Namchi,30-01-2021,New Delhi,Not Available,2,3
Premium,Ooty|Kodaikanal,2N Ooty . 3N Kodaikanal,21-04-2021,Mumbai,IndiGo,0,5
Standard,Goa,2N Goa,8/9/2021,New Delhi,Not Available,2,3
Standard,Jaipur|Udaipur,3N Jaipur . 3N Udaipur,22-05-2021,New Delhi,Spicejet|IndiGo,2,3
Premium,Jaipur,3N Jaipur,15-09-2021,Mumbai,Not Available,0,5
Standard,Munnar|Allepey,2N Munnar . 1N Allepey,5/4/2021,New Delhi,Not Available,2,3
Standard,Pelling|Gangtok|Darjeeling,1N Pelling . 3N Gangtok . 2N Darjeeling,18-09-2021,New Delhi,IndiGo,2,3
Premium,Shimla,3N Shimla,6/11/2021,Mumbai,Not Available,0,5
Standard,Pondicherry|Mahabalipuram,2N Pondicherry . 1N Mahabalipuram,18-10-2021,Mumbai,Spicejet,2,3
Premium,Munnar|Thekkady|Allepey,2N Munnar . 1N Thekkady . 1N Allepey,15-10-2021,New Delhi,Not Available,0,5
Luxury,Jodhpur,3N Jodhpur,22-10-2021,New Delhi,IndiGo|IndiGo,0,4
Deluxe,Munnar|Kumarakom|Allepey|Kovalam and Poovar,2N Munnar . 1N Kumarakom . 1N Allepey . 2N Kovalam and Poovar,24-02-2021,New Delhi,IndiGo|Spicejet,1,3
Deluxe,Ooty,2N Ooty,3/2/2022,Mumbai,Not Available,1,3
Standard,Shimla|Chandigarh,3N Shimla . 1N Chandigarh,1/3/2021,New Delhi,Not Available,2,3
Standard,Agra|New Delhi|Shimla|Manali|Chandigarh,1N Agra . 1N New Delhi . 2N Shimla . 3N Manali . 1N Chandigarh,22-08-2021,Mumbai,Vistara,2,3
Standard,Pondicherry,3N Pondicherry,3/10/2021,Mumbai,Not Available,2,3
Deluxe,Coorg,3N Coorg,7/3/2021,Mumbai,Go Air,1,3
Premium,Gangtok|Pelling|Darjeeling,3N Gangtok . 2N Pelling . 2N Darjeeling,16-05-2021,Mumbai,IndiGo,0,5
Deluxe,Gangtok|Lachung|Gangtok|Darjeeling,1N Gangtok . 1N Lachung . 1N Gangtok . 2N Darjeeling,23-08-2021,Mumbai,IndiGo,1,3
Standard,Dubai,5N Dubai,30-04-2021,New Delhi,IndiGo|IndiGo,2,3
Deluxe,New Delhi|Shimla|Manali|Chandigarh,1N New Delhi . 2N Shimla . 3N Manali . 1N Chandigarh,26-10-2021,Mumbai,Vistara,1,3
Premium,Parwanoo|Shimla,1N Parwanoo . 2N Shimla,28-11-2021,Mumbai,Go Air,0,5
Luxury,Srinagar|Gulmarg|Pahalgam|Katra,2N Srinagar . 1N Gulmarg . 2N Pahalgam . 2N Katra,25-05-2021,Mumbai,Not Available,0,4
Premium,Gulmarg|Pahalgam|Srinagar,2N Gulmarg . 2N Pahalgam . 1N Srinagar,15-10-2021,New Delhi,IndiGo|IndiGo,0,5
Luxury,Jaipur,3N Jaipur,18-05-2021,New Delhi,Go Air,0,4
Premium,Mussoorie,2N Mussoorie,17-03-2021,New Delhi,Spicejet,0,5
Deluxe,Mussoorie,2N Mussoorie,27-03-2021,New Delhi,Spicejet,1,3
Deluxe,Abu Dhabi,3N Abu Dhabi,19-04-2021,Mumbai,Emirates|Emirates|Emirates|Emirates,1,3
Deluxe,Goa,3N Goa,8/3/2021,Mumbai,Go Air,1,3
Deluxe,Gangtok|Lachung|Gangtok,3N Gangtok . 2N Lachung . 1N Gangtok,23-07-2021,Mumbai,Spicejet,1,3
Luxury,Amritsar,2N Amritsar,10/7/2021,Mumbai,Not Available,0,4
Deluxe,Dalhousie|Dharamshala,3N Dalhousie . 2N Dharamshala,28-08-2021,Mumbai,Not Available,1,3
Premium,Jaipur,2N Jaipur,22-02-2021,Mumbai,Not Available,0,5
Deluxe,Coorg|Mysore,2N Coorg . 1N Mysore,9/8/2021,New Delhi,Spicejet,1,3
Premium,Rishikesh|Mussoorie,2N Rishikesh . 2N Mussoorie,18-10-2021,New Delhi,IndiGo,0,5
Deluxe,Srinagar|Gulmarg|Pahalgam|Srinagar,1N Srinagar . 2N Gulmarg . 2N Pahalgam . 3N Srinagar,10/7/2021,Mumbai,IndiGo|IndiGo,1,3
Deluxe,Srinagar,2N Srinagar,24-04-2021,New Delhi,IndiGo,1,3
Deluxe,Gulmarg|Pahalgam|Srinagar,2N Gulmarg . 2N Pahalgam . 1N Srinagar,30-08-2021,New Delhi,IndiGo,1,3
Premium,Munnar|Allepey|Kovalam and Poovar,2N Munnar . 1N Allepey . 2N Kovalam and Poovar,2/6/2021,Mumbai,IndiGo|Spicejet,0,5
Deluxe,Cochin,2N Cochin,20-03-2021,New Delhi,IndiGo,1,3
Luxury,Cochin|Munnar|Thekkady|Allepey,1N Cochin . 2N Munnar . 1N Thekkady . 1N Allepey,29-08-2021,New Delhi,IndiGo,0,4
Standard,Shimla,4N Shimla,3/1/2022,Mumbai,Not Available,2,3
Standard,Srinagar|Gulmarg|Pahalgam|Srinagar,1N Srinagar . 1N Gulmarg . 2N Pahalgam . 3N Srinagar,18-02-2021,New Delhi,IndiGo,2,3
Premium,Nainital|Corbett,3N Nainital . 1N Corbett,17-11-2021,New Delhi,Not Available,0,5
Standard,Pelling,3N Pelling,30-08-2021,New Delhi,Go Air,2,3
Premium,Cochin|Munnar|Thekkady|Allepey,1N Cochin . 2N Munnar . 1N Thekkady . 1N Allepey,22-11-2021,New Delhi,Spicejet,0,5
Deluxe,Munnar|Thekkady|Allepey|Kovalam,2N Munnar . 1N Thekkady . 1N Allepey . 3N Kovalam,11/12/2021,New Delhi,IndiGo,1,3
Standard,Udaipur,2N Udaipur,3/2/2021,New Delhi,Not Available,2,3
Standard,Gangtok|Pelling|Darjeeling|Kalimpong,3N Gangtok . 1N Pelling . 2N Darjeeling . 1N Kalimpong,28-06-2021,New Delhi,Spicejet,2,3
Deluxe,Jaisalmer,2N Jaisalmer,17-12-2021,New Delhi,Spicejet|Spicejet,1,3
Premium,Kovalam and Poovar|Allepey|Thekkady|Munnar,2N Kovalam and Poovar . 2N Allepey . 1N Thekkady . 2N Munnar,15-03-2021,New Delhi,Air India|Spicejet,0,5
Luxury,Port Blair|Havelock|Port Blair,1N Port Blair . 2N Havelock . 1N Port Blair,10/11/2021,Mumbai,Go Air,0,4
Luxury,Kandy|Colombo,2N Kandy . 1N Colombo,10/3/2021,New Delhi,IndiGo|IndiGo|IndiGo|IndiGo,0,4
Standard,Dharamshala|Dalhousie,2N Dharamshala . 2N Dalhousie,19-04-2021,Mumbai,Spicejet|Spicejet|Vistara,2,3
Standard,Negombo|Kandy|Nuwara Eliya|Bentota|Colombo,1N Negombo . 1N Kandy . 1N Nuwara Eliya . 1N Bentota . 1N Colombo,10/12/2021,Mumbai,IndiGo|IndiGo|IndiGo|IndiGo,2,3
Deluxe,Shimla|Manali|Dharamshala,2N Shimla . 3N Manali . 2N Dharamshala,30-08-2021,New Delhi,Spicejet,1,3
Deluxe,Goa,4N Goa,12/7/2021,New Delhi,Spicejet,1,3
Premium,Gangtok|Pelling|Darjeeling,2N Gangtok . 1N Pelling . 2N Darjeeling,16-10-2021,New Delhi,Not Available,0,5
Standard,Dubai,5N Dubai,5/4/2021,New Delhi,Air India Express|Air India Express,2,3
Deluxe,Munnar|Thekkady|Allepey|Kovalam and Poovar,2N Munnar . 1N Thekkady . 1N Allepey . 2N Kovalam and Poovar,11/5/2021,Mumbai,Spicejet|Spicejet,1,3
Standard,Corbett|Nainital|New Delhi,2N Corbett . 1N Nainital . 1N New Delhi,7/8/2021,New Delhi,Not Available,2,3
Premium,Munnar|Thekkady|Kumarakom|Allepey,2N Munnar . 1N Thekkady . 1N Kumarakom . 1N Allepey,11/10/2021,New Delhi,IndiGo,0,5
Premium,Udaipur,2N Udaipur,16-10-2021,New Delhi,Not Available,0,5
Premium,Kuala Lumpur|Bali,2N Kuala Lumpur . 3N Bali,2/8/2021,New Delhi,Malindo Air|AirAsia Indonesia|Malindo Air|Malindo Air,0,5
Premium,Goa,8N Goa,6/3/2021,New Delhi,Spicejet,0,5
Luxury,Mysore|Coorg|Ooty,1N Mysore . 2N Coorg . 2N Ooty,2/7/2021,New Delhi,Go Air,0,4
Luxury,Shimla|Manali|Dharamshala|Chandigarh,2N Shimla . 3N Manali . 2N Dharamshala . 1N Chandigarh,8/9/2021,New Delhi,Spicejet|Go Air,0,4
Premium,Dharamshala|Dalhousie,2N Dharamshala . 2N Dalhousie,20-12-2021,New Delhi,Not Available,0,5
Luxury,Shimla|Manali|Chandigarh|New Delhi,2N Shimla . 3N Manali . 1N Chandigarh . 2N New Delhi,29-01-2022,New Delhi,Spicejet,0,4
Premium,Pondicherry|Mahabalipuram,2N Pondicherry . 1N Mahabalipuram,23-10-2021,New Delhi,Not Available,0,5
Budget,Nainital,2N Nainital,25-11-2021,Mumbai,IndiGo,2,2
Luxury,Shimla|Chandigarh,3N Shimla . 1N Chandigarh,15-10-2021,New Delhi,Not Available,0,4
Premium,Aurangabad|Shirdi,2N Aurangabad . 1N Shirdi,12/9/2021,Mumbai,Air India,0,5
Standard,Munnar,3N Munnar,8/2/2021,New Delhi,IndiGo,2,3
Premium,Srinagar|Gulmarg|Srinagar,1N Srinagar . 1N Gulmarg . 1N Srinagar,9/5/2021,New Delhi,Go Air,0,5
Deluxe,Kasauli,2N Kasauli,15-07-2021,Mumbai,Not Available,1,3
Deluxe,Manali|Shimla,2N Manali . 2N Shimla,7/10/2021,New Delhi,Not Available,1,3
Deluxe,Bangalore|Mysore|Ooty|Kodaikanal,1N Bangalore . 1N Mysore . 2N Ooty . 2N Kodaikanal,27-03-2022,New Delhi,Go Air|IndiGo,1,3
Premium,Shimla|Manali|Chandigarh,2N Shimla . 4N Manali . 1N Chandigarh,7/6/2021,New Delhi,Air India,0,5
Deluxe,Dharamshala|Dalhousie,2N Dharamshala . 2N Dalhousie,11/11/2021,New Delhi,Not Available,1,3
Premium,Amritsar,3N Amritsar,24-05-2021,New Delhi,Spicejet,0,5
Standard,Udaipur|Mount Abu,2N Udaipur . 2N Mount Abu,26-09-2021,New Delhi,Spicejet|Spicejet,2,3
Deluxe,Kandy|Bentota|Colombo,2N Kandy . 2N Bentota . 1N Colombo,1/12/2021,New Delhi,Air India|Air India|Air India|Air India,1,3
Standard,Queenstown,6N Queenstown,14-06-2021,New Delhi,Not Available,2,3
Standard,Shimla|Manali|Dharamshala|Chandigarh,2N Shimla . 3N Manali . 2N Dharamshala . 1N Chandigarh,21-08-2021,New Delhi,Air India,2,3
Standard,Munnar|Thekkady,3N Munnar . 2N Thekkady,21-05-2021,Mumbai,Spicejet,2,3
Deluxe,Kodaikanal,2N Kodaikanal,28-10-2021,New Delhi,IndiGo|IndiGo,1,3
Deluxe,Munnar,3N Munnar,19-06-2021,New Delhi,IndiGo,1,3
Premium,Dharamshala|Dalhousie,2N Dharamshala . 2N Dalhousie,8/10/2021,New Delhi,Vistara,0,5
Standard,Srinagar,3N Srinagar,3/8/2021,New Delhi,IndiGo|IndiGo,2,3
Standard,Darjeeling|Gangtok|Kalimpong,2N Darjeeling . 2N Gangtok . 1N Kalimpong,15-11-2021,New Delhi,IndiGo|IndiGo,2,3
Luxury,Darjeeling|Gangtok,3N Darjeeling . 3N Gangtok,17-04-2021,Mumbai,Spicejet,0,4
Standard,Gangtok|Lachung|Gangtok|Darjeeling,2N Gangtok . 2N Lachung . 1N Gangtok . 2N Darjeeling,6/5/2021,Mumbai,Spicejet,2,3
Premium,Gangtok|Lachung|Gangtok|Pelling|Darjeeling,2N Gangtok . 1N Lachung . 1N Gangtok . 2N Pelling . 3N Darjeeling,23-02-2021,Mumbai,Spicejet,0,5
Premium,Udaipur|Kumbalgarh|Mount Abu,2N Udaipur . 1N Kumbalgarh . 1N Mount Abu,26-08-2021,New Delhi,Not Available,0,5
Premium,Cochin|Allepey|Thekkady,1N Cochin . 1N Allepey . 2N Thekkady,31-07-2021,New Delhi,IndiGo,0,5
Deluxe,Darjeeling|Gangtok,2N Darjeeling . 1N Gangtok,24-03-2021,Mumbai,IndiGo,1,3
Premium,Amritsar,2N Amritsar,16-07-2021,New Delhi,IndiGo,0,5
Standard,Goa,3N Goa,18-10-2021,Mumbai,IndiGo,2,3
Deluxe,Srinagar|Pahalgam|Gulmarg|Srinagar,1N Srinagar . 2N Pahalgam . 1N Gulmarg . 2N Srinagar,18-10-2021,New Delhi,Spicejet,1,3
Premium,Dalhousie|Dharamshala|Amritsar,2N Dalhousie . 2N Dharamshala . 2N Amritsar,16-10-2021,New Delhi,IndiGo,0,5
Luxury,Amritsar,3N Amritsar,17-08-2021,New Delhi,Spicejet,0,4
Premium,Port Blair,3N Port Blair,25-06-2021,New Delhi,IndiGo|IndiGo,0,5
Standard,Munnar,3N Munnar,6/10/2021,Mumbai,Not Available,2,3
Deluxe,Munnar|Allepey|Kovalam and Poovar,2N Munnar . 1N Allepey . 2N Kovalam and Poovar,18-04-2021,New Delhi,Air India|IndiGo,1,3
Standard,Dharamshala|Dalhousie|Amritsar|Chandigarh,2N Dharamshala . 2N Dalhousie . 1N Amritsar . 1N Chandigarh,2/9/2021,New Delhi,Air India,2,3
Premium,Cochin|Munnar|Thekkady,1N Cochin . 2N Munnar . 2N Thekkady,17-05-2021,New Delhi,Spicejet,0,5
Deluxe,Shimla|Manali|Dalhousie|Chandigarh,2N Shimla . 3N Manali . 2N Dalhousie . 1N Chandigarh,1/7/2021,Mumbai,Not Available,1,3
Deluxe,Munnar|Kumarakom,2N Munnar . 2N Kumarakom,10/8/2021,New Delhi,Go Air,1,3
Standard,Amritsar|Dalhousie|Dharamshala,2N Amritsar . 2N Dalhousie . 2N Dharamshala,22-09-2021,Mumbai,Spicejet,2,3
Deluxe,Gangtok|Darjeeling,4N Gangtok . 3N Darjeeling,10/6/2021,New Delhi,Not Available,1,3
Luxury,Nainital|Kausani|Ranikhet|New Delhi,2N Nainital . 2N Kausani . 1N Ranikhet . 1N New Delhi,24-01-2021,Mumbai,Go Air,0,4
Premium,Port Blair|Havelock|Niel Island|Port Blair,1N Port Blair . 2N Havelock . 1N Niel Island . 1N Port Blair,16-03-2022,New Delhi,Not Available,0,5
Deluxe,Cochin|Munnar|Thekkady|Allepey,1N Cochin . 2N Munnar . 1N Thekkady . 1N Allepey,10/3/2021,New Delhi,Spicejet,1,3
Premium,Shirdi,1N Shirdi,30-07-2021,New Delhi,IndiGo,0,5
Budget,Kodaikanal,3N Kodaikanal,28-05-2021,Mumbai,Not Available,2,2
Standard,Coorg|Ooty,2N Coorg . 3N Ooty,7/5/2021,New Delhi,Go Air,2,3
Standard,Tirupati,2N Tirupati,17-03-2021,New Delhi,Spicejet,2,3
Deluxe,Jaisalmer,2N Jaisalmer,9/7/2021,New Delhi,Spicejet|Spicejet,1,3
Premium,Bali,6N Bali,5/7/2021,Mumbai,Malaysia Airlines|Malaysia Airlines|Malaysia Airlines|Malaysia Airlines,0,5
Deluxe,Mysore|Ooty|Bangalore,1N Mysore . 3N Ooty . 1N Bangalore,28-07-2021,New Delhi,Go Air,1,3
Standard,Munnar|Kumarakom|Kovalam and Poovar,2N Munnar . 1N Kumarakom . 2N Kovalam and Poovar,17-11-2021,New Delhi,Vistara|Spicejet,2,3
Standard,Colombo,2N Colombo,24-03-2021,New Delhi,Not Available,2,3
Luxury,Nainital|Kausani|Ranikhet|New Delhi,2N Nainital . 2N Kausani . 1N Ranikhet . 1N New Delhi,6/4/2021,Mumbai,Go Air,0,4
Premium,Udaipur,3N Udaipur,7/4/2021,New Delhi,IndiGo,0,5
Premium,Udaipur|Mount Abu,2N Udaipur . 1N Mount Abu,19-05-2021,New Delhi,Not Available,0,5
Standard,Bandipur|Ooty,1N Bandipur . 2N Ooty,19-04-2021,Mumbai,AirAsia|Spicejet,2,3
